tiempo,voltaje
2.38,0.1
2.4,0.14
2.42,0.16
2.44,0.2
2.46,0.2
2.48,0.22
2.5,0.22
2.52,0.24
2.54,0.26
2.56,0.26
2.58,0.24
2.6,0.26
2.62,0.28
2.64,0.28
2.66,0.28
2.68,0.3
2.7,0.3
2.72,0.28
2.74,0.3
2.76,0.32
2.78,0.32
2.8,0.32
2.82,0.32
2.84,0.32
2.86,0.34
2.88,-0.12
2.9,-0.18
2.92,-0.2
2.94,-0.2
2.96,-0.22
2.98,-0.24
3.0,-0.24
3.02,-0.26
3.04,-0.24
3.06,-0.26
3.08,-0.26
3.1,-0.28
3.12,-0.28
3.14,-0.28
3.16,-0.26
3.18,-0.3
3.2,-0.3
3.22,-0.3
3.24,-0.3
3.26,-0.3
3.28,-0.3
3.3,-0.32
3.32,-0.32
3.34,-0.34
3.36,-0.32
3.38,0.12
3.4,0.16
3.42,0.18
3.44,0.2
3.46,0.2
3.48,0.22
3.5,0.22
3.52,0.24
3.54,0.26
3.56,0.24
3.58,0.28
3.6,0.28
3.62,0.26
3.64,0.28
3.66,0.28
3.68,0.28
3.7,0.32
3.72,0.28
3.74,0.32
3.76,0.3
3.78,0.32
3.8,0.32
3.82,0.34
3.84,0.34
3.86,0.34
3.88,-0.12
3.9,-0.16
3.92,-0.18
3.94,-0.2
3.96,-0.22
3.98,-0.22
4.0,-0.24
4.02,-0.26
4.04,-0.26
4.06,-0.26
4.08,-0.28
4.1,-0.28
4.12,-0.3
4.14,-0.3
4.16,-0.3
4.18,-0.32
4.2,-0.3
4.22,-0.32
4.24,-0.3
4.26,-0.32
4.28,-0.32
4.3,-0.34
4.32,-0.32
4.34,-0.3
4.36,-0.32
4.38,0.14
4.4,0.16
4.42,0.18
4.44,0.2
4.46,0.22
4.48,0.22
4.5,0.24
4.52,0.24
4.54,0.24
4.56,0.24
4.58,0.24
4.6,0.28
4.62,0.28
4.64,0.28
4.66,0.3
4.68,0.28
4.7,0.28
4.72,0.3
4.74,0.32
4.76,0.3
4.78,0.32
4.8,0.32
4.82,0.34
4.84,0.32
4.86,0.32
4.88,-0.16
4.9,-0.18
4.92,-0.2
4.94,-0.22
4.96,-0.2
4.98,-0.22
5.0,-0.26
5.02,-0.26
5.04,-0.26
5.06,-0.26
5.08,-0.26
5.1,-0.28
5.12,-0.3
5.14,-0.28
5.16,-0.3
5.18,-0.3
5.2,-0.3
5.22,-0.32
5.24,-0.32
5.26,-0.32
5.28,-0.32
5.3,-0.32
5.32,-0.34
5.34,-0.32
5.36,-0.32
5.38,0.16
5.4,0.18
5.42,0.18
5.44,0.2
5.46,0.22
5.48,0.22
5.5,0.24
5.52,0.22
5.54,0.26
5.56,0.26
5.58,0.26
5.6,0.28
5.62,0.28
5.64,0.28
5.66,0.28
5.68,0.3
5.7,0.3
5.72,0.3
5.74,0.3
5.76,0.3
5.78,0.3
5.8,0.3
5.82,0.34
5.84,0.34
5.86,-0.08
5.88,-0.16
5.9,-0.18
5.92,-0.2
5.94,-0.22
5.96,-0.24
5.98,-0.24
6.0,-0.26
6.02,-0.24
6.04,-0.26
6.06,-0.26
6.08,-0.28
6.1,-0.28
6.12,-0.28
6.14,-0.3
6.16,-0.3
6.18,-0.3
6.2,-0.32
6.22,-0.3
6.24,-0.32
6.26,-0.32
6.28,-0.32
6.3,-0.32
6.32,-0.32
6.34,-0.32
6.36,0.1
6.38,0.12
6.4,0.16
6.42,0.18
6.44,0.2
6.46,0.22
6.48,0.22
6.5,0.22
6.52,0.24
6.54,0.24
6.56,0.28
6.58,0.28
6.6,0.26
6.62,0.28
6.64,0.28
6.66,0.28
6.68,0.28
6.7,0.28
6.72,0.3
6.74,0.3
6.76,0.32
6.78,0.3
6.8,0.32
6.82,0.3
