tiempo,voltaje
2.78,4.0
2.8,3.8
2.82,3.8
2.84,3.6
2.86,3.6
2.88,3.6
2.9,3.6
2.92,3.6
2.94,3.6
2.96,3.6
2.98,3.6
3.0,3.6
3.02,3.6
3.04,3.6
3.06,3.6
3.08,3.6
3.1,3.6
3.12,3.6
3.14,3.6
3.16,3.6
3.18,3.6
3.2,3.6
3.22,3.4
3.24,3.4
3.26,3.4
3.28,-3.6
3.3,-3.6
3.32,-3.6
3.34,-3.4
3.36,-3.4
3.38,-3.4
3.4,-3.4
3.42,-3.4
3.44,-3.4
3.46,-3.4
3.48,-3.4
3.5,-3.2
3.52,-3.2
3.54,-3.4
3.56,-3.2
3.58,-3.2
3.6,-3.2
3.62,-3.2
3.64,-3.4
3.66,-3.2
3.68,-3.2
3.7,-3.2
3.72,-3.2
3.74,-3.2
3.76,-3.2
3.78,4.0
3.8,3.8
3.82,3.6
3.84,3.6
3.86,3.6
3.88,3.6
3.9,3.8
3.92,3.6
3.94,3.6
3.96,3.6
3.98,3.6
4.0,3.6
4.02,3.6
4.04,3.6
4.06,3.6
4.08,3.6
4.1,3.6
4.12,3.6
4.14,3.6
4.16,3.6
4.18,3.4
4.2,3.4
4.22,3.6
4.24,3.6
4.26,3.4
4.28,-3.8
4.3,-3.6
4.32,-3.4
4.34,-3.6
4.36,-3.4
4.38,-3.4
4.4,-3.4
4.42,-3.4
4.44,-3.4
4.46,-3.4
4.48,-3.4
4.5,-3.4
4.52,-3.2
4.54,-3.4
4.56,-3.4
4.58,-3.2
4.6,-3.2
4.62,-3.2
4.64,-3.2
4.66,-3.2
4.68,-3.2
4.7,-3.2
4.72,-3.2
4.74,-3.2
4.76,-3.2
4.78,3.8
4.8,3.8
4.82,3.8
4.84,3.6
4.86,3.8
4.88,3.6
4.9,3.6
4.92,3.6
4.94,3.6
4.96,3.6
4.98,3.6
5.0,3.6
5.02,3.6
5.04,3.6
5.06,3.6
5.08,3.6
5.1,3.6
5.12,3.6
5.14,3.6
5.16,3.6
5.18,3.6
5.2,3.6
5.22,3.6
5.24,3.6
5.26,3.6
5.28,-3.6
5.3,-3.4
5.32,-3.6
5.34,-3.4
5.36,-3.6
5.38,-3.4
5.4,-3.4
5.42,-3.4
5.44,-3.4
5.46,-3.2
5.48,-3.4
5.5,-3.2
5.52,-3.4
5.54,-3.2
5.56,-3.2
5.58,-3.2
5.6,-3.2
5.62,-3.4
5.64,-3.4
5.66,-3.4
5.68,-3.2
5.7,-3.2
5.72,-3.2
5.74,-3.2
5.76,-3.2
5.78,3.8
5.8,3.8
5.82,3.8
5.84,3.6
5.86,3.6
5.88,3.6
5.9,3.6
5.92,3.6
5.94,3.6
5.96,3.6
5.98,3.6
6.0,3.6
6.02,3.6
6.04,3.6
6.06,3.6
6.08,3.6
6.1,3.6
6.12,3.6
6.14,3.6
6.16,3.6
6.18,3.6
6.2,3.6
6.22,3.4
6.24,3.6
6.26,3.6
6.28,-3.6
6.3,-3.6
6.32,-3.6
6.34,-3.4
6.36,-3.4
6.38,-3.4
6.4,-3.4
6.42,-3.4
6.44,-3.4
6.46,-3.4
6.48,-3.4
6.5,-3.4
6.52,-3.4
6.54,-3.2
6.56,-3.2
6.58,-3.2
6.6,-3.4
6.62,-3.2
6.64,-3.2
6.66,-3.2
6.68,-3.2
6.7,-3.2
6.72,-3.2
6.74,-3.2
6.76,-3.2
6.78,3.8
6.8,3.8
6.82,3.6
6.84,3.6
6.86,3.8
6.88,3.8
6.9,3.6
6.92,3.6
6.94,3.6
6.96,3.6
6.98,3.6
7.0,3.6
7.02,3.6
7.04,3.6
7.06,3.6
7.08,3.6
7.1,3.4
7.12,3.6
7.14,3.4
7.16,3.6
7.18,3.6
7.2,3.6
7.22,3.6
7.24,3.4
7.26,3.4
7.28,-3.6
7.3,-3.6
7.32,-3.6
7.34,-3.6
7.36,-3.4
7.38,-3.4
7.4,-3.4
7.42,-3.4
7.44,-3.4
7.46,-3.4
7.48,-3.4
7.5,-3.2
7.52,-3.2
7.54,-3.2
7.56,-3.4
7.58,-3.2
7.6,-3.4
7.62,-3.2
7.64,-3.2
7.66,-3.2
7.68,-3.2
7.7,-3.2
7.72,-3.2
7.74,-3.2
7.76,-3.2
7.78,3.8
7.8,3.8
7.82,3.8
7.84,3.8
7.86,3.6
7.88,3.6
7.9,3.6
7.92,3.6
7.94,3.6
7.96,3.6
7.98,3.6
8.0,3.6
8.02,3.4
8.04,3.6
8.06,3.6
8.08,3.6
8.1,3.6
8.12,3.6
8.14,3.6
8.16,3.6
8.18,3.6
8.2,3.6
8.22,3.6
8.24,3.6
8.26,3.6
8.28,-3.6
8.3,-3.6
8.32,-3.6
8.34,-3.4
8.36,-3.4
8.38,-3.4
8.4,-3.4
8.42,-3.4
8.44,-3.4
8.46,-3.4
8.48,-3.2
8.5,-3.4
8.52,-3.4
8.54,-3.2
8.56,-3.4
8.58,-3.2
8.6,-3.4
8.62,-3.2
8.64,-3.2
8.66,-3.2
8.68,-3.2
8.7,-3.2
8.72,-3.2
8.74,-3.2
8.76,5.0
8.78,3.8
8.8,3.8
8.82,3.8
8.84,3.8
8.86,3.6
8.88,3.6
8.9,3.6
8.92,3.6
8.94,3.6
8.96,3.6
8.98,3.6
9.0,3.6
9.02,3.6
9.04,3.6
9.06,3.6
9.08,3.6
9.1,3.6
9.12,3.6
9.14,3.6
9.16,3.6
9.18,3.6
9.2,3.6
9.22,3.6
9.24,3.4
9.26,-4.2
9.28,-3.6
9.3,-3.6
9.32,-3.4
9.34,-3.4
9.36,-3.4
9.38,-3.4
9.4,-3.4
9.42,-3.4
9.44,-3.4
9.46,-3.2
9.48,-3.4
9.5,-3.4
9.52,-3.2
9.54,-3.2
9.56,-3.4
9.58,-3.2
9.6,-3.2
9.62,-3.2
9.64,-3.2
9.66,-3.2
9.68,-3.2
9.7,-3.2
9.72,-3.2
9.74,-3.2
9.76,4.2
9.78,3.8
9.8,3.8
9.82,3.8
9.84,3.6
9.86,3.6
9.88,3.6
9.9,3.6
9.92,3.6
9.94,3.6
9.96,3.6
9.98,3.6
10.0,3.6
10.02,3.6
10.04,3.6
10.06,3.6
10.08,3.6
10.1,3.6
10.12,3.6
10.14,3.4
10.16,3.6
10.18,3.4
10.2,3.6
10.22,3.6
10.24,3.4
10.26,-3.8
10.28,-3.6
10.3,-3.6
10.32,-3.6
10.34,-3.4
10.36,-3.4
10.38,-3.4
10.4,-3.6
10.42,-3.4
10.44,-3.4
10.46,-3.4
10.48,-3.2
10.5,-3.4
10.52,-3.4
10.54,-3.2
10.56,-3.4
10.58,-3.2
10.6,-3.2
10.62,-3.2
10.64,-3.2
10.66,-3.2
10.68,-3.2
10.7,-3.2
10.72,-3.2
10.74,-3.2
