Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
0.014,0.018000000000000002,0.018000000000000002,0.006,0.016,3.8,4.0,4.0,4.0,4.0
0.024,0.026,0.026,0.024,0.026,3.8,3.8,3.8,3.8,3.8
0.03,0.028,0.028,0.03,0.03,3.6,3.8,3.8,3.8,3.8
0.032,0.034,0.032,0.034,0.034,3.6,3.8,3.6,3.6,3.6
0.034,0.038,0.034,0.038,0.034,3.6,3.6,3.6,3.6,3.6
0.036000000000000004,0.036000000000000004,0.038,0.04,0.038,3.6,3.6,3.6,3.8,3.6
0.038,0.036000000000000004,0.038,0.036000000000000004,0.04,3.6,3.6,3.6,3.6,3.6
0.04,0.04,0.04,0.04,0.04,3.6,3.6,3.6,3.6,3.6
0.042,0.042,0.042,0.042,0.042,3.6,3.6,3.6,3.6,3.6
0.042,0.042,0.042,0.044,0.044,3.6,3.6,3.6,3.6,3.6
0.044,0.044,0.046,0.046,0.046,3.6,3.6,3.6,3.6,3.6
0.044,0.046,0.044,0.046,0.046,3.6,3.6,3.6,3.6,3.6
0.046,0.046,0.044,0.046,0.046,3.6,3.6,3.6,3.6,3.6
0.046,0.048,0.048,0.046,0.048,3.6,3.6,3.6,3.6,3.6
0.048,0.048,0.046,0.048,0.048,3.6,3.6,3.6,3.6,3.6
0.048,0.05,0.05,0.052000000000000005,0.05,3.6,3.6,3.6,3.6,3.4
0.05,0.05,0.052000000000000005,0.052000000000000005,0.052000000000000005,3.6,3.6,3.6,3.6,3.6
0.052000000000000005,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.052000000000000005,3.4,3.6,3.6,3.6,3.6
0.05,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.054000000000000006,3.6,3.6,3.6,3.6,3.6
0.052000000000000005,0.054000000000000006,0.052000000000000005,0.054000000000000006,0.054000000000000006,3.6,3.6,3.6,3.6,3.6
0.054000000000000006,0.052000000000000005,0.054000000000000006,0.058,0.056,3.4,3.6,3.6,3.6,3.6
0.056,0.054000000000000006,0.054000000000000006,0.056,0.054000000000000006,3.4,3.6,3.6,3.6,3.6
0.056,0.054000000000000006,0.054000000000000006,0.056,0.056,3.6,3.4,3.4,3.6,3.4
0.054000000000000006,0.058,0.056,0.056,0.06,3.4,3.6,3.4,3.6,3.6
0.054000000000000006,0.056,0.058,0.058,0.058,3.4,3.6,3.4,3.6,3.6
0.016,0.02,0.02,0.014,0.016,3.8,3.8,4.0,4.0,4.0
