tiempo,voltaje
2.56,0.26
2.58,-0.18
2.6,-0.08
2.62,0.8
2.64,0.9
2.66,0.16
2.68,-0.2
2.7,-0.64
2.72,-0.06
2.74,0.04
2.76,-0.48
2.78,-1.1
2.8,-0.8
2.82,-0.06
2.84,0.08
2.86,-0.4
2.88,-1.12
2.9,-0.68
2.92,-0.1
2.94,0.16
2.96,-0.48
2.98,-1.02
3.0,-0.64
3.02,-0.04
3.04,0.08
3.06,-0.48
3.08,-0.96
3.1,-0.8
3.12,-0.14
3.14,0.22
3.16,-0.46
3.18,-0.78
3.2,0.42
3.22,0.88
3.24,1.08
3.26,0.4
3.28,-0.12
3.3,0.38
3.32,0.84
3.34,1.06
3.36,0.42
3.38,-0.12
3.4,0.26
3.42,0.72
3.44,0.82
3.46,0.36
3.48,-0.06
3.5,0.12
3.52,0.64
3.54,0.9
3.56,0.4
3.58,-0.24
3.6,0.04
3.62,0.76
3.64,0.82
3.66,0.48
3.68,-0.28
3.7,-0.94
3.72,-0.12
3.74,0.0
3.76,-0.4
3.78,-1.26
3.8,-0.96
3.82,-0.34
3.84,0.22
3.86,-0.28
3.88,-0.96
3.9,-0.96
3.92,0.02
3.94,0.06
3.96,-0.4
3.98,-0.9
4.0,-0.76
4.02,-0.24
4.04,0.04
4.06,-0.18
4.08,-0.78
4.1,-0.6
4.12,-0.2
4.14,0.22
4.16,-0.16
4.18,-0.7
4.2,0.46
4.22,0.72
4.24,0.98
4.26,0.6
4.28,0.1
4.3,0.02
4.32,0.56
4.34,0.92
4.36,0.62
4.38,0.02
4.4,-0.04
4.42,0.56
4.44,1.02
4.46,0.58
4.48,-0.04
4.5,0.0
4.52,0.62
4.54,0.92
4.56,0.54
4.58,-0.12
4.6,0.06
4.62,0.72
4.64,0.92
4.66,0.46
4.68,0.0
4.7,-1.18
4.72,-0.16
4.74,0.1
4.76,-0.32
4.78,-0.86
4.8,-1.0
4.82,-0.22
4.84,0.08
4.86,-0.34
4.88,-0.8
4.9,-1.0
