tiempo,voltaje
2.72,0.10400000000000001
2.74,0.07
2.76,0.018000000000000002
2.78,0.054000000000000006
2.8,0.084
2.82,0.066
2.84,0.064
2.86,0.057999999999999996
2.88,0.064
2.9,0.048
2.92,0.066
2.94,0.066
2.96,0.034
2.98,0.064
3.0,0.044000000000000004
3.02,0.01
3.04,0.048
3.06,0.016
3.08,0.052000000000000005
3.1,0.044000000000000004
3.12,0.124
3.14,0.024
3.16,0.026000000000000002
3.18,0.064
3.2,0.05
3.22,-0.024
3.24,-0.09
3.26,-0.106
3.28,-0.044000000000000004
3.3,-0.054000000000000006
3.32,-0.08199999999999999
3.34,-0.06
3.36,-0.078
3.38,-0.09
3.4,-0.057999999999999996
3.42,-0.064
3.44,-0.054000000000000006
3.46,-0.027999999999999997
3.48,-0.05
3.5,-0.046
3.52,-0.078
3.54,-0.05
3.56,-0.044000000000000004
3.58,-0.07
3.6,-0.054000000000000006
3.62,-0.055999999999999994
3.64,-0.048
3.66,-0.03
3.68,-0.057999999999999996
3.7,0.114
3.72,0.064
3.74,0.064
3.76,0.054000000000000006
3.78,0.08199999999999999
3.8,0.07400000000000001
3.82,0.062
3.84,0.01
3.86,0.055999999999999994
3.88,0.08
3.9,0.07400000000000001
3.92,0.068
3.94,0.04
3.96,0.044000000000000004
3.98,0.04
4.0,0.08
4.02,0.07
4.04,0.042
4.06,0.064
4.08,0.044000000000000004
4.1,0.042
4.12,0.057999999999999996
4.14,0.044000000000000004
4.16,0.05
4.18,0.026000000000000002
4.2,-0.12
4.22,-0.07200000000000001
4.24,-0.07
4.26,-0.07
4.28,-0.052000000000000005
4.3,-0.055999999999999994
4.32,-0.002
4.34,-0.052000000000000005
4.36,-0.066
4.38,-0.07400000000000001
4.4,-0.042
4.42,-0.062
4.44,-0.036000000000000004
4.46,-0.07400000000000001
4.48,-0.044000000000000004
4.5,-0.057999999999999996
4.52,-0.046
4.54,-0.054000000000000006
4.56,-0.08
4.58,-0.016
4.6,-0.054000000000000006
4.62,-0.078
4.64,-0.07400000000000001
4.66,-0.057999999999999996
4.68,-0.027999999999999997
4.7,0.1
4.72,0.12
4.74,0.07200000000000001
4.76,0.07200000000000001
4.78,0.04
4.8,0.06
4.82,0.046
4.84,0.038
4.86,0.054000000000000006
4.88,0.046
4.9,0.066
4.92,0.054000000000000006
4.94,0.057999999999999996
4.96,0.032
4.98,0.027999999999999997
5.0,0.055999999999999994
5.02,0.048
5.04,0.046
5.06,0.038
5.08,0.046
5.1,0.07400000000000001
5.12,0.034
5.14,0.062
5.16,0.057999999999999996
5.18,0.052000000000000005
5.2,-0.084
5.22,-0.078
5.24,-0.08199999999999999
5.26,-0.05
5.28,-0.078
5.3,-0.064
5.32,-0.036000000000000004
5.34,-0.062
5.36,-0.052000000000000005
5.38,0.002
5.4,-0.05
5.42,-0.044000000000000004
5.44,-0.048
5.46,-0.078
5.48,-0.08
5.5,-0.05
5.52,-0.05
5.54,-0.032
5.56,-0.09
5.58,-0.027999999999999997
