Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
0.08,0.58,0.06,0.26,0.28,0.104,0.07200000000000001,0.08800000000000001,0.084,0.06
0.1,0.86,0.14,0.8,0.28,0.07,0.07400000000000001,0.052000000000000005,0.084,0.06
0.12,0.16,0.14,0.9,0.12,0.018000000000000002,0.086,0.058,0.086,0.06
0.46,0.08,0.22,0.16,0.6,0.054000000000000006,0.036000000000000004,0.042,0.09,0.07400000000000001
0.42,0.08,0.02,0.04,1.08,0.084,0.07,0.05,0.042,0.054000000000000006
0.94,0.04,0.38,0.08,0.84,0.066,0.048,0.038,0.066,0.08800000000000001
0.88,0.24,0.76,0.16,0.2,0.064,0.048,0.076,0.044,0.07400000000000001
0.3,0.06,0.06,0.08,0.32,0.058,0.054000000000000006,0.058,0.066,0.056
0.26,0.24,0.14,0.22,0.94,0.064,0.036000000000000004,0.04,0.076,0.054000000000000006
0.86,0.52,0.52,0.42,0.62,0.048,0.08800000000000001,0.062,0.042,0.084
0.84,0.16,0.88,0.88,0.04,0.066,0.056,0.062,0.056,0.08199999999999999
0.14,0.84,0.7,1.08,0.36,0.066,0.032,0.058,0.032,0.03
0.02,0.98,0.08,0.4,0.92,0.034,0.05,0.066,0.064,0.046
0.82,0.32,0.66,0.38,0.56,0.064,0.07,0.028,0.036000000000000004,0.076
0.7,0.24,1.04,0.84,0.06,0.044,0.042,0.042,0.042,0.054000000000000006
0.2,0.72,0.74,1.06,0.5,0.01,0.066,0.038,0.052000000000000005,0.064
0.14,0.98,0.08,0.42,0.9,0.048,0.042,0.038,0.066,0.038
0.86,0.36,0.58,0.26,0.68,0.016,0.054000000000000006,0.054000000000000006,0.042,0.056
0.72,0.18,1.04,0.72,0.36,0.052000000000000005,0.006,0.064,0.054000000000000006,0.042
0.12,0.7,0.7,0.82,0.92,0.044,0.066,0.078,0.04,0.028
0.04,0.82,0.04,0.36,0.58,0.124,0.032,0.052000000000000005,0.064,0.054000000000000006
0.92,0.3,0.54,0.12,0.1,0.024,0.062,0.062,0.052000000000000005,0.026
0.58,0.18,0.94,0.64,0.24,0.026,0.05,0.042,0.052000000000000005,0.068
0.08,0.66,0.46,0.9,0.12,0.064,0.06,0.058,0.07400000000000001,0.042
0.04,1.02,0.08,0.4,0.2,0.05,0.066,0.054000000000000006,0.066,0.068
0.14,0.22,0.68,0.04,0.16,0.114,0.064,0.07400000000000001,0.14800000000000002,0.094
0.04,0.06,1.02,0.76,0.26,0.064,0.058,0.064,0.084,0.08199999999999999
