tiempo,voltaje
2.5,-2.56
2.52,-2.56
2.54,-2.56
2.56,-2.56
2.58,-2.56
2.6,-2.56
2.62,-2.56
2.64,-2.56
2.66,-2.56
2.68,-2.56
2.7,-2.56
2.72,-2.56
2.74,-2.56
2.76,-2.56
2.78,-2.56
2.8,-2.56
2.82,-2.56
2.84,-2.56
2.86,-2.56
2.88,-2.56
2.9,-2.56
2.92,-2.56
2.94,-2.56
2.96,-2.56
2.98,-2.56
3.0,-2.56
3.02,-2.56
3.04,-2.56
3.06,-2.56
3.08,-2.56
3.1,-2.56
3.12,-2.56
3.14,-2.56
3.16,-2.56
3.18,-2.56
3.2,-2.56
3.22,-2.56
3.24,-2.56
3.26,-2.56
3.28,-2.56
3.3,-2.56
3.32,-2.56
3.34,-2.56
3.36,-2.56
3.38,-2.56
3.4,-2.56
3.42,-2.56
3.44,-2.56
3.46,-2.56
3.48,-2.56
3.5,-2.56
3.52,-2.56
3.54,-2.56
3.56,-2.56
3.58,-2.56
3.6,-2.56
3.62,-2.56
3.64,-2.56
3.66,-2.56
3.68,-2.56
3.7,-2.56
3.72,-2.56
3.74,-2.56
3.76,-2.56
3.78,-2.56
3.8,-2.56
3.82,-2.56
3.84,-2.56
3.86,-2.56
3.88,-2.56
3.9,-2.56
3.92,-2.56
3.94,-2.56
3.96,-2.56
3.98,-2.56
4.0,-2.56
4.02,-2.56
4.04,-2.56
4.06,-2.56
4.08,-2.56
4.1,-2.56
4.12,-2.56
4.14,-2.56
4.16,-2.56
4.18,-2.56
4.2,-2.56
4.22,-2.56
4.24,-2.56
4.26,-2.56
4.28,-2.56
4.3,-2.56
4.32,-2.56
4.34,-2.56
4.36,-2.56
4.38,-2.56
4.4,-2.56
4.42,-2.56
4.44,-2.56
4.46,-2.56
4.48,-2.56
4.5,-2.56
4.52,-2.56
4.54,-2.56
4.56,-2.56
4.58,-2.56
4.6,-2.56
4.62,-2.56
4.64,-2.56
4.66,-2.56
4.68,-2.56
4.7,-2.56
4.72,-2.56
4.74,-2.56
4.76,-2.56
4.78,-2.56
4.8,-2.56
4.82,-2.56
4.84,-2.56
4.86,-2.56
4.88,-2.56
4.9,-2.56
4.92,-2.56
4.94,-2.56
4.96,-2.56
4.98,1.48
5.0,1.46
5.02,1.46
5.04,1.48
5.06,1.48
5.08,1.46
5.1,1.44
5.12,1.44
5.14,1.44
5.16,1.4
5.18,1.42
5.2,1.4
5.22,1.4
5.24,1.4
5.26,1.42
5.28,1.4
5.3,1.42
5.32,1.38
5.34,1.4
5.36,1.4
5.38,1.4
5.4,1.4
5.42,1.38
5.44,-1.5
5.46,-1.48
5.48,-1.48
5.5,-1.46
5.52,-1.44
5.54,-1.46
5.56,-1.48
5.58,-1.46
5.6,-1.46
5.62,-1.44
5.64,-1.44
5.66,-1.4
5.68,-1.42
5.7,-1.42
5.72,-1.42
5.74,-1.4
5.76,-1.4
5.78,-1.4
5.8,-1.4
5.82,-1.4
5.84,-1.4
5.86,-1.4
5.88,-1.38
5.9,-1.38
5.92,-1.4
5.94,1.5
5.96,1.5
5.98,1.48
6.0,1.48
6.02,1.48
6.04,1.46
6.06,1.46
6.08,1.42
6.1,1.42
6.12,1.44
6.14,1.44
6.16,1.4
6.18,1.4
6.2,1.42
6.22,1.42
6.24,1.42
6.26,1.4
6.28,1.4
6.3,1.4
6.32,1.4
6.34,1.38
6.36,1.4
6.38,1.38
6.4,1.4
6.42,1.38
6.44,-1.48
6.46,-1.5
6.48,-1.46
6.5,-1.48
6.52,-1.46
6.54,-1.46
6.56,-1.46
6.58,-1.44
6.6,-1.44
6.62,-1.44
6.64,-1.42
6.66,-1.46
6.68,-1.44
6.7,-1.42
6.72,-1.4
6.74,-1.42
6.76,-1.42
6.78,-1.4
6.8,-1.42
6.82,-1.4
6.84,-1.38
6.86,-1.38
6.88,-1.42
6.9,-1.4
6.92,-1.38
6.94,1.48
6.96,1.5
6.98,1.46
7.0,1.48
7.02,1.48
7.04,1.46
7.06,1.46
7.08,1.44
7.1,1.44
7.12,1.44
7.14,1.42
7.16,1.42
7.18,1.42
7.2,1.42
7.22,1.42
7.24,1.4
