Voltaje_Cen_0,Voltaje_Ext_0
1.48,2.04
1.46,2.0
1.46,2.0
1.48,1.96
1.48,1.92
1.46,1.92
1.44,1.88
1.44,1.88
1.44,1.88
1.4,1.84
1.42,1.84
1.4,1.84
1.4,1.84
1.4,1.84
1.42,1.8
1.4,1.76
1.42,1.76
1.38,1.8
1.4,1.8
1.4,1.76
1.4,1.76
1.4,1.76
1.38,1.76
1.5,2.12
1.5,2.08
1.48,2.04
1.48,2.0
1.48,2.0
1.46,1.96
1.46,1.96
1.42,1.92
1.42,1.92
1.44,1.88
1.44,1.84
1.4,1.84
1.4,1.84
1.42,1.84
1.42,1.8
1.42,1.8
1.4,1.8
1.4,1.8
1.4,1.76
1.4,1.8
1.38,1.8
1.4,1.76
1.38,1.76
1.4,1.76
1.38,1.76
1.48,2.16
1.5,2.08
1.46,2.04
1.48,2.0
1.48,2.0
1.46,1.96
1.46,1.92
1.44,1.88
1.44,1.88
1.44,1.88
1.42,1.84
1.42,1.84
1.42,1.8
1.42,1.84
1.42,1.8
1.4,1.84
1.42,1.8
1.4,1.8
1.4,1.76
1.4,1.8
1.4,1.8
1.4,1.76
1.38,1.76
1.38,1.76
1.38,1.72
1.48,2.2
1.48,2.08
1.48,2.04
1.48,2.0
1.48,2.0
1.46,1.96
1.48,1.92
1.44,1.92
1.44,1.88
1.44,1.88
1.44,1.88
1.42,1.84
1.42,1.84
1.42,1.8
1.44,1.8
1.42,1.84
1.42,1.8
1.42,1.76
1.38,1.8
1.38,1.76
1.38,1.76
1.4,1.76
1.38,1.8
1.38,1.76
1.4,1.76
1.42,2.2
1.5,2.12
1.5,2.04
1.48,2.0
1.46,1.96
1.46,1.96
1.48,1.96
1.46,1.92
1.46,1.88
1.44,1.88
1.44,1.88
1.4,1.84
1.44,1.84
1.42,1.8
1.4,1.8
1.42,1.8
1.4,1.8
1.4,1.8
1.4,1.8
1.38,1.76
1.4,1.8
1.38,1.8
1.4,1.8
1.4,1.76
1.38,1.76
1.38,2.2
1.48,2.12
1.5,2.04
1.48,2.0
1.48,1.96
1.46,1.96
1.46,1.96
1.44,1.92
1.44,1.92
1.44,1.84
1.44,1.88
1.44,1.84
1.42,1.84
1.42,1.84
1.42,1.84
1.42,1.84
1.4,1.8
