tiempo,voltaje
2.32,1.92
2.34,1.92
2.36,1.96
2.38,1.96
2.4,1.96
2.42,1.96
2.44,1.92
2.46,1.96
2.48,2.0
2.5,1.92
2.52,1.92
2.54,1.96
2.56,1.96
2.58,1.96
2.6,1.96
2.62,1.92
2.64,1.92
2.66,1.96
2.68,1.96
2.7,1.92
2.72,1.92
2.74,1.92
2.76,1.92
2.78,1.92
2.8,1.92
2.82,-1.88
2.84,-1.88
2.86,-1.92
2.88,-1.88
2.9,-1.92
2.92,-1.92
2.94,-1.92
2.96,-1.88
2.98,-1.92
3.0,-1.92
3.02,-1.88
3.04,-1.88
3.06,-1.88
3.08,-1.88
3.1,-1.88
3.12,-1.92
3.14,-1.88
3.16,-1.88
3.18,-1.88
3.2,-1.88
3.22,-1.88
3.24,-1.88
3.26,-1.88
3.28,-1.88
3.3,-1.88
3.32,1.92
3.34,1.96
3.36,1.96
3.38,1.96
3.4,1.96
3.42,2.0
3.44,1.96
3.46,1.96
3.48,1.92
3.5,1.96
3.52,1.96
3.54,1.92
3.56,1.96
3.58,2.0
3.6,1.92
3.62,1.92
3.64,1.96
3.66,1.96
3.68,1.92
3.7,1.92
3.72,1.92
3.74,1.92
3.76,1.96
3.78,1.96
3.8,1.92
3.82,-1.88
3.84,-1.88
3.86,-1.92
3.88,-1.92
3.9,-1.92
3.92,-1.92
3.94,-1.88
3.96,-1.92
3.98,-1.92
4.0,-1.92
4.02,-1.88
4.04,-1.92
4.06,-1.88
4.08,-1.88
4.1,-1.96
4.12,-1.88
4.14,-1.88
4.16,-1.88
4.18,-1.88
4.2,-1.88
4.22,-1.92
4.24,-1.88
4.26,-1.88
4.28,-1.88
4.3,-1.88
4.32,1.92
4.34,1.96
4.36,1.96
4.38,2.0
4.4,2.0
4.42,1.92
4.44,1.96
4.46,1.96
4.48,1.96
4.5,1.92
4.52,1.92
4.54,1.96
4.56,1.96
4.58,1.92
4.6,1.96
4.62,1.92
4.64,1.92
4.66,1.96
4.68,1.96
4.7,1.92
4.72,1.92
4.74,1.96
4.76,1.92
4.78,1.92
4.8,1.92
4.82,-1.88
4.84,-1.88
4.86,-1.96
4.88,-1.88
4.9,-1.96
4.92,-1.88
4.94,-1.92
4.96,-1.92
4.98,-1.92
5.0,-1.92
5.02,-1.92
5.04,-1.88
5.06,-1.88
5.08,-1.88
5.1,-1.88
5.12,-1.92
5.14,-1.88
5.16,-1.88
5.18,-1.88
5.2,-1.84
5.22,-1.88
5.24,-1.88
5.26,-1.92
