tiempo,voltaje
2.76,4.4
2.78,4.4
2.8,4.4
2.82,4.4
2.84,4.4
2.86,4.4
2.88,4.4
2.9,4.4
2.92,4.4
2.94,4.4
2.96,4.4
2.98,4.4
3.0,4.4
3.02,4.4
3.04,4.4
3.06,4.4
3.08,4.4
3.1,4.4
3.12,4.4
3.14,4.4
3.16,4.4
3.18,4.4
3.2,4.4
3.22,4.4
3.24,4.4
3.26,-4.32
3.28,-4.32
3.3,-4.32
3.32,-4.24
3.34,-4.24
3.36,-4.32
3.38,-4.32
3.4,-4.32
3.42,-4.24
3.44,-4.24
3.46,-4.32
3.48,-4.24
3.5,-4.32
3.52,-4.32
3.54,-4.24
3.56,-4.24
3.58,-4.32
3.6,-4.24
3.62,-4.32
3.64,-4.24
3.66,-4.24
3.68,-4.32
3.7,-4.24
3.72,-4.24
3.74,-4.24
3.76,4.4
3.78,4.4
3.8,4.32
3.82,4.4
3.84,4.4
3.86,4.32
3.88,4.4
3.9,4.4
3.92,4.4
3.94,4.4
3.96,4.4
3.98,4.4
4.0,4.4
4.02,4.4
4.04,4.4
4.06,4.4
4.08,4.4
4.1,4.4
4.12,4.4
4.14,4.4
4.16,4.4
4.18,4.32
4.2,4.4
4.22,4.4
4.24,4.4
4.26,-4.32
4.28,-4.32
4.3,-4.32
4.32,-4.32
4.34,-4.24
4.36,-4.32
4.38,-4.32
4.4,-4.24
4.42,-4.24
4.44,-4.32
4.46,-4.32
4.48,-4.32
4.5,-4.24
4.52,-4.24
4.54,-4.32
4.56,-4.24
4.58,-4.32
4.6,-4.32
4.62,-4.32
4.64,-4.24
4.66,-4.32
4.68,-4.32
4.7,-4.24
4.72,-4.32
4.74,-4.32
4.76,4.4
4.78,4.4
4.8,4.4
4.82,4.4
4.84,4.48
4.86,4.4
4.88,4.4
4.9,4.4
4.92,4.4
4.94,4.4
4.96,4.4
4.98,4.4
5.0,4.4
5.02,4.4
5.04,4.4
5.06,4.4
5.08,4.4
5.1,4.4
5.12,4.4
5.14,4.4
5.16,4.4
5.18,4.4
5.2,4.4
5.22,4.4
5.24,4.32
5.26,-4.32
5.28,-4.32
5.3,-4.24
5.32,-4.32
5.34,-4.32
5.36,-4.32
5.38,-4.32
5.4,-4.32
5.42,-4.32
5.44,-4.32
5.46,-4.32
5.48,-4.24
5.5,-4.24
5.52,-4.32
5.54,-4.24
5.56,-4.32
5.58,-4.32
5.6,-4.32
5.62,-4.32
5.64,-4.24
5.66,-4.32
5.68,-4.32
5.7,-4.32
5.72,-4.32
5.74,-4.24
5.76,4.4
5.78,4.4
5.8,4.4
5.82,4.4
5.84,4.4
5.86,4.32
5.88,4.4
5.9,4.4
5.92,4.4
5.94,4.4
5.96,4.4
5.98,4.4
6.0,4.4
6.02,4.4
6.04,4.4
6.06,4.4
6.08,4.4
6.1,4.4
6.12,4.4
6.14,4.4
6.16,4.4
6.18,4.4
6.2,4.4
6.22,4.4
6.24,-4.32
6.26,-4.32
6.28,-4.32
6.3,-4.24
6.32,-4.32
6.34,-4.24
6.36,-4.24
6.38,-4.32
6.4,-4.32
6.42,-4.32
6.44,-4.32
6.46,-4.32
6.48,-4.32
6.5,-4.32
6.52,-4.32
6.54,-4.32
6.56,-4.24
6.58,-4.24
6.6,-4.24
6.62,-4.32
6.64,-4.24
6.66,-4.32
6.68,-4.24
6.7,-4.32
6.72,-4.24
6.74,4.4
6.76,4.4
6.78,4.4
6.8,4.4
6.82,4.4
6.84,4.4
6.86,4.4
6.88,4.4
6.9,4.4
6.92,4.4
6.94,4.4
6.96,4.48
6.98,4.4
7.0,4.4
7.02,4.4
7.04,4.32
7.06,4.4
7.08,4.4
7.1,4.4
7.12,4.4
7.14,4.4
7.16,4.4
7.18,4.4
7.2,4.4
7.22,4.4
7.24,-4.32
7.26,-4.32
7.28,-4.24
7.3,-4.32
7.32,-4.24
7.34,-4.24
7.36,-4.32
7.38,-4.32
7.4,-4.24
7.42,-4.32
7.44,-4.24
7.46,-4.32
7.48,-4.24
7.5,-4.32
7.52,-4.32
7.54,-4.32
7.56,-4.32
7.58,-4.32
7.6,-4.24
7.62,-4.32
7.64,-4.24
7.66,-4.24
7.68,-4.24
7.7,-4.32
7.72,-4.24
7.74,4.4
7.76,4.4
7.78,4.32
7.8,4.4
7.82,4.4
7.84,4.4
7.86,4.4
7.88,4.4
7.9,4.4
7.92,4.4
7.94,4.4
7.96,4.4
7.98,4.4
8.0,4.4
8.02,4.4
8.04,4.4
8.06,4.4
8.08,4.4
8.1,4.4
8.12,4.4
8.14,4.4
8.16,4.4
8.18,4.4
8.2,4.4
8.22,4.4
8.24,-4.24
8.26,-4.32
8.28,-4.32
8.3,-4.32
8.32,-4.32
8.34,-4.32
8.36,-4.32
8.38,-4.24
8.4,-4.24
8.42,-4.32
8.44,-4.32
8.46,-4.24
8.48,-4.32
8.5,-4.24
8.52,-4.32
8.54,-4.32
8.56,-4.24
8.58,-4.32
8.6,-4.24
8.62,-4.32
8.64,-4.32
8.66,-4.32
8.68,-4.32
8.7,-4.32
8.72,-4.32
8.74,4.4
8.76,4.4
8.78,4.4
8.8,4.4
8.82,4.4
8.84,4.4
8.86,4.4
8.88,4.4
8.9,4.4
8.92,4.32
8.94,4.4
8.96,4.32
8.98,4.4
9.0,4.4
9.02,4.4
9.04,4.4
9.06,4.4
9.08,4.32
9.1,4.4
9.12,4.4
9.14,4.4
9.16,4.4
9.18,4.4
9.2,4.32
9.22,4.32
9.24,-4.32
9.26,-4.32
9.28,-4.32
9.3,-4.32
9.32,-4.24
9.34,-4.32
9.36,-4.32
9.38,-4.32
9.4,-4.32
9.42,-4.24
9.44,-4.24
9.46,-4.32
9.48,-4.24
9.5,-4.24
9.52,-4.24
9.54,-4.24
9.56,-4.32
9.58,-4.4
9.6,-4.32
9.62,-4.24
9.64,-4.24
9.66,-4.32
9.68,-4.32
9.7,-4.24
9.72,-4.32
9.74,4.4
9.76,4.4
9.78,4.4
9.8,4.4
9.82,4.4
9.84,4.32
9.86,4.4
9.88,4.4
9.9,4.4
9.92,4.4
9.94,4.4
9.96,4.4
9.98,4.4
10.0,4.4
10.02,4.4
10.04,4.4
10.06,4.4
10.08,4.4
10.1,4.4
10.12,4.4
10.14,4.4
10.16,4.4
10.18,4.4
10.2,4.4
10.22,4.4
10.24,-4.32
10.26,-4.32
10.28,-4.24
10.3,-4.32
10.32,-4.32
10.34,-4.24
10.36,-4.32
10.38,-4.32
10.4,-4.32
10.42,-4.32
10.44,-4.32
10.46,-4.24
10.48,-4.24
10.5,-4.32
10.52,-4.32
10.54,-4.32
10.56,-4.32
10.58,-4.24
10.6,-4.24
10.62,-4.32
10.64,-4.24
10.66,-4.32
10.68,-4.24
10.7,-4.32
10.72,-4.32
10.74,4.4
10.76,4.4
10.78,4.4
10.8,4.4
10.82,4.4
10.84,4.4
10.86,4.4
10.88,4.4
10.9,4.4
10.92,4.4
10.94,4.4
10.96,4.4
10.98,4.4
11.0,4.4
11.02,4.4
11.04,4.32
11.06,4.4
11.08,4.4
11.1,4.4
11.12,4.4
11.14,4.4
11.16,4.4
11.18,4.4
11.2,4.4
11.22,-4.32
11.24,-4.32
11.26,-4.32
11.28,-4.24
11.3,-4.32
11.32,-4.24
11.34,-4.24
11.36,-4.32
11.38,-4.24
11.4,-4.32
11.42,-4.24
11.44,-4.24
11.46,-4.32
11.48,-4.24
11.5,-4.32
11.52,-4.32
11.54,-4.24
11.56,-4.32
11.58,-4.32
11.6,-4.32
11.62,-4.32
11.64,-4.24
11.66,-4.24
11.68,-4.32
11.7,-4.32
11.72,4.4
11.74,4.32
11.76,4.4
11.78,4.4
11.8,4.4
11.82,4.4
11.84,4.4
11.86,4.48
11.88,4.4
11.9,4.4
11.92,4.32
11.94,4.4
11.96,4.4
11.98,4.4
12.0,4.4
12.02,4.4
12.04,4.4
12.06,4.48
12.08,4.4
12.1,4.4
12.12,4.4
12.14,4.4
12.16,4.32
12.18,4.4
12.2,4.4
12.22,-4.32
12.24,-4.32
12.26,-4.32
12.28,-4.24
12.3,-4.32
12.32,-4.32
12.34,-4.32
12.36,-4.32
12.38,-4.32
12.4,-4.32
12.42,-4.24
12.44,-4.32
12.46,-4.24
12.48,-4.32
12.5,-4.32
12.52,-4.32
12.54,-4.32
12.56,-4.24
12.58,-4.24
12.6,-4.32
12.62,-4.24
12.64,-4.32
12.66,-4.24
12.68,-4.32
12.7,-4.32
12.72,4.4
12.74,4.4
12.76,4.4
12.78,4.4
12.8,4.4
12.82,4.32
12.84,4.4
12.86,4.4
12.88,4.4
12.9,4.32
12.92,4.48
12.94,4.4
12.96,4.4
12.98,4.4
13.0,4.4
13.02,4.4
13.04,4.32
13.06,4.4
13.08,4.4
13.1,4.4
13.12,4.4
