Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
1.92,1.88,1.92,1.64,1.92,1.28,1.36,1.68,1.36,1.56
1.92,1.96,2.0,1.96,2.0,1.16,1.24,1.28,1.2,1.32
1.96,2.0,1.96,1.96,2.0,1.12,1.08,1.2,1.2,1.2
1.96,2.0,1.96,1.96,2.0,1.04,1.08,1.12,1.08,1.12
1.96,2.0,2.0,1.96,2.0,1.04,1.24,1.04,1.16,0.88
1.96,1.96,2.0,2.0,2.0,1.04,1.04,1.08,1.04,1.0
1.92,2.0,2.0,2.0,1.96,1.04,1.0,1.0,1.16,1.08
1.96,1.96,2.0,1.96,1.96,1.04,0.96,0.96,0.92,1.04
2.0,1.96,2.0,1.96,2.0,1.04,1.0,0.88,1.0,1.0
1.92,1.96,1.96,1.96,2.0,0.96,0.92,0.92,0.88,0.96
1.92,1.96,2.0,2.0,1.96,0.96,1.04,1.04,0.96,0.92
1.96,2.0,1.96,2.0,1.96,1.0,1.0,1.04,1.04,1.08
1.96,1.96,1.92,2.0,1.92,0.96,0.92,1.0,1.04,1.04
1.96,1.96,1.96,1.92,1.96,0.92,0.88,0.92,0.92,0.96
1.96,1.96,2.0,1.96,1.96,0.96,1.0,0.88,0.92,0.92
1.92,1.92,1.96,1.96,1.96,0.92,1.12,0.96,0.88,0.88
1.92,1.96,1.92,1.96,1.96,0.96,0.84,1.08,1.0,1.04
1.96,1.96,1.96,1.96,2.0,0.96,0.8,0.92,1.0,1.0
1.96,1.96,2.0,1.96,1.96,0.88,0.84,1.0,1.0,0.8
1.92,2.0,1.96,1.96,1.96,0.92,0.92,0.84,0.8,1.0
1.92,1.92,1.92,2.0,2.0,0.96,1.0,1.0,0.88,0.92
1.92,1.96,1.92,2.0,1.96,0.96,1.0,1.0,1.04,0.96
1.92,1.92,1.92,1.92,1.96,0.96,0.96,1.0,0.88,1.08
1.92,2.0,1.96,2.0,2.0,0.88,0.92,0.92,0.92,1.0
1.92,1.96,1.96,1.92,1.96,0.88,1.04,0.92,0.84,0.92
1.92,1.92,1.44,1.84,1.92,1.28,1.28,1.4,1.28,1.24
1.96,1.92,1.96,1.96,1.96,1.16,1.28,1.24,1.16,1.16
1.96,2.0,1.96,1.96,2.0,1.12,1.04,1.08,1.28,1.08
1.96,2.0,2.0,2.0,2.04,1.08,1.0,1.0,1.08,1.2
1.96,2.0,2.0,2.0,1.96,1.04,1.12,0.96,1.0,1.0
2.0,1.96,2.0,1.96,2.0,1.0,1.2,1.16,0.96,1.04
1.96,1.96,1.96,2.0,2.0,1.0,1.0,1.08,1.08,1.04
1.96,2.0,1.92,2.0,1.96,1.0,1.0,1.08,1.04,0.92
1.92,1.96,2.0,2.0,1.96,1.0,0.96,0.92,0.92,0.96
