Res_at_0.2,R_std_0.2,Res_at_0.3,R_std_0.3,Res_at_0.4,R_std_0.4,Res_at_0.5,R_std_0.5,Res_at_0.6,R_std_0.6,Res_at_0.7,R_std_0.7,Res_at_0.8,R_std_0.8,Res_at_0.9,R_std_0.9
15766.666666666666,12983.750528170885,6267.542419266558,5229.365360011307,20231.22400809262,15397.925486862578,20966.156862745098,21185.39640666049,34575.151821862346,13007.95945660045,39375.92592592593,44450.38474017668,18956.32294825843,22892.66965212396,28215.329454858867,20667.529732020983
11108.513513513513,17436.70299656786,56091.560846560846,97288.20759578269,26969.04764515312,15547.049622195924,13547.619047619048,8794.694726299384,31076.455026455027,10726.795290402719,17873.573230806196,10944.870688215731,20425.641025641024,17303.208404196113,34269.973544973545,8465.636889213194
10841.658113537811,11949.739917886844,36906.915840325455,42651.67720354744,15640.195360195357,12277.373765620006,25394.699760010106,13515.25687192732,38217.04014939309,26502.775370060244,19933.40961098398,23512.667047605268,26489.061712002887,6738.196379674669,25317.475257408514,15008.36828651689
7388.825396825397,4469.381009853277,18904.714640198512,33022.87230478699,29188.82676308904,24232.41598413095,9923.809523809523,3256.317386657902,35438.193617527984,35381.877435980554,23578.724696356272,10756.206006123484,18787.640014579174,20363.103099065152,28163.157894736843,12497.71916553379
12022.055442866802,12534.071138787738,16858.08921008921,18449.90899211287,31437.967348743212,32700.89505760003,24436.923076923074,22024.914886093087,25263.845215505557,20075.826833736406,27168.2091503268,15905.7806023912,31529.441792559304,9588.889657846761,16840.03164409698,20816.25850136394
15693.014492753622,16819.07496368039,12067.905801684863,10383.647183831275,15650.671005453614,13974.423397468923,24322.981602291948,7538.946724635877,8970.524568744813,9927.99726076729,30080.712489688645,11448.414213014248,32564.403036576947,35096.19745783976,32069.23076923077,25641.393587103594
12596.24060150376,14377.115006865204,22418.439716312056,18925.762514591435,12642.293906810035,7401.311931097708,23278.709677419356,12799.188247470845,30342.803788181936,20930.86487900214,9523.962962962964,8531.441077491572,62410.93984962406,60032.21759316766,37196.59887798036,22048.171811818876
18920.95238095238,11193.208177151542,24332.61150614092,20018.450517171732,34630.73992673992,32398.004697401473,23091.428571428572,14148.486293561333,11127.175811046778,11777.432170794968,33243.30180289433,23930.086479283495,26785.166804521647,26085.56782343377,13493.107769423561,7577.974563699381
11242.547052265723,9009.660012912183,12807.307097012981,5599.068016873922,26783.03063160748,29909.429159939453,28556.0,17753.90761369326,16535.487684729065,16731.21263775964,32038.92572944297,18415.021415351264,29119.024787037495,18074.07904317862,18380.14806838067,11103.707934662516
12010.358328772121,17886.200947919326,7792.836438923395,7336.860707689911,49616.62745098039,48018.96952922055,23935.61037318153,23032.4228374548,24578.417077175698,21881.209761049344,13944.55375322248,7934.953117312371,18486.95054945055,12742.85440428107,38091.259259259255,30440.572045334295
