Res_at_0.2,R_std_0.2,Res_at_0.3,R_std_0.3,Res_at_0.4,R_std_0.4,Res_at_0.5,R_std_0.5,Res_at_0.6,R_std_0.6,Res_at_0.7,R_std_0.7,Res_at_0.8,R_std_0.8,Res_at_0.9,R_std_0.9
3397.3994301994303,1827.222011650846,3609.222073578595,1951.0760594799547,3557.0425863991086,1924.888962630905,3468.2528428093647,1876.1926531526988,3640.219047619047,2011.3312345676413,3783.7913043478256,2085.9363762098455,3673.7217391304353,2005.9651575320331,3510.9185185185183,1908.485747395294
3249.478239512722,1774.668925241681,3472.5673727238946,1887.3324464452978,3646.2666666666664,1971.1976957057238,3944.1641025641024,2512.8749050628066,3688.5098228663446,2026.5770424379505,3299.3353562534976,1797.5494712443453,3852.3690821256037,2198.522790167492,3693.869841269841,2034.9485349101412
3592.3234924919134,2059.072941341916,3612.314942528735,2007.822717023042,3426.432804232804,1862.3083900826207,3369.0740740740744,1821.5201477979922,3682.3831501831505,2023.7385305427233,3499.4916387959865,1887.0375380691266,3769.422222222222,2079.216599860583,3991.9529411764706,2285.2472152049713
3210.5249042145597,1752.8777690630614,3488.591961162276,1989.6053452318265,3695.283735909823,2020.0259063907383,4185.069788182831,2545.9094286395934,3562.501127214171,1938.436681759298,3468.888888888889,1877.056631741683,3551.822222222222,1948.8089075188186,3779.51884057971,2040.7880931149589
3376.002122015915,1834.9226221288552,3626.0615384615385,2018.8803845450059,3820.831780538302,2096.3851825885245,3860.6666666666665,2152.3737800133345,3483.3333333333335,1903.497282366868,3448.5365539452496,1879.9737345434576,3943.32463768116,2160.591868586081,3879.513043478261,2122.436341790429
3461.028571428571,1909.5544688192988,3564.794871794872,1939.5257465758236,3345.7800569800575,1800.105975626889,3260.447706061499,1758.6445642376927,3751.4460547504023,2063.6645092765975,3441.231239935588,1867.178221683628,4003.6,2202.741201321662,3654.622073578595,1985.348876722284
3438.134798534798,1860.6458376983157,3571.615954415954,1960.5244924288163,3871.783475783476,2144.1530091451978,3448.8518518518517,1860.655366716251,3871.2307692307686,2154.562216134699,3846.7368421052633,2147.612328769194,3609.582608695652,1952.194523373336,3751.528675833023,2070.4581091374844
3397.9760683760687,1832.814202340082,3565.287356321839,1965.3623424209106,3480.851282051282,1879.2341662000358,3603.353846153846,1989.9503499500363,3520.5525083612038,1907.0298785717996,3590.4887402452614,1940.923818211198,3783.875303643725,2139.968536198822,3651.7913043478256,1984.545211384776
3494.389870998566,1905.8806912063199,3501.9851851851854,1894.0293894915908,3525.146859903382,1916.0255142573678,3461.2307692307686,1861.1275833904576,3659.9913043478255,1970.6681627368034,3686.1942028985513,1996.0490068756308,3830.8579710144927,2083.2225383620025,3797.6974658869394,2127.6456063112346
3301.274155474156,1774.141117902493,3516.7225071225066,1928.038399195454,3561.9076923076923,1935.5053942991083,3965.7111111111108,2237.709570294513,3663.3809523809527,1979.0262886127634,3802.591304347826,2089.237558127633,3922.225442834138,2140.2205778043503,3710.305590062111,2038.8656802147332
3316.772137008419,1831.8112702792719,3734.225442834138,2097.7866327483866,3513.245584045584,1916.735415226882,3620.348148148148,1975.9201297426182,3706.9913043478255,2014.3534188493948,3641.257971014493,1962.2944649172148,3852.8410256410257,2185.7749545653733,3853.0,2123.5116879567413
4457.131878842405,825.9503666017916,4385.142857142857,399.62730937031546,4350.788605697151,457.85892279404067,4525.083612040134,254.81292000713583,4486.937198067633,513.4520981625427,4707.089026915113,388.1040862006878,4405.739130434782,200.77540926453952,4801.931438127091,481.2787047035613
4299.2962962962965,432.9815666249974,4475.892857142857,418.262674602918,4433.107302118171,272.3904598028019,4671.478260869566,292.078176171362,4744.655797101449,196.29599184552583,4651.150218541523,510.15252143248324,4748.416666666667,472.81782373811166,3605.6890888767875,1122.7546136253961
4291.692307692308,82.53651394457061,4509.68660968661,681.2473990298331,4698.155797101449,498.7435231878853,4396.701649175413,481.2654420070313,4770.416666666667,447.0901288703799,4750.0,238.04761428476166,4333.097980924068,356.6393541886142,4028.874269005848,1417.9785972939221
4131.925925925926,210.5756431995789,4844.304347826086,490.20315992067907,4572.916666666667,287.9826865937912,4813.894927536231,394.9492897213203,4437.0,311.4418083687545,4365.123745819397,258.05609594536577,4800.916666666667,527.007300181358,4005.1929584362965,961.0643078199022
4280.96251874063,442.2838682476818,4480.016722408027,260.45809458211147,4313.692307692308,69.11580197639503,4506.0,331.93573675236195,4559.455128205129,311.52147917204024,4525.916666666667,259.9530406310596,4621.739130434782,587.6152820617073,3975.3548387096776,735.0367325961985
4137.087912087912,265.6362801602196,4404.210826210827,409.283861647634,4573.833333333334,296.4666616695399,4688.405797101449,149.2812249681264,4994.7492458521865,963.6908348979078,4941.739130434782,246.85954413504186,4415.0,325.98363967127756,3762.3949186121226,1419.5004575383955
4320.351851851852,220.18137242439133,4500.709153970023,460.6103408263083,4667.572463768116,576.2643287238476,4640.257648953301,390.5879342039046,4462.659765355417,493.8722665785743,4720.916666666667,423.71246146413915,4625.916666666667,272.0253766756982,3852.826086956522,1134.8127876491226
4291.94847020934,385.1099135302954,4419.689087080391,315.17413841774976,4536.277591973244,383.0750957253688,4746.739130434782,265.4756404832299,4398.076923076923,362.0223167028893,4939.239130434782,473.8947443615079,4475.565217391304,205.81301428578644,4176.666666666667,996.891464800754
4090.527065527065,118.24342915163989,4644.025641025641,441.95277919717336,4212.68660968661,180.5707992913255,4710.142857142857,411.5384443238111,4606.0,339.4819582835,4887.3351648351645,484.3754888276569,4338.461538461538,442.82578352690024,4168.75,977.2934801257481
4210.379185407296,509.7801201123462,4381.06884057971,389.81133752045173,4506.916666666667,347.08216286317247,4611.072463768116,397.02707015258125,4451.368760064412,560.2167486265259,4672.916666666667,277.1694728260431,4473.333333333334,441.95122908403494,4521.309523809523,931.0894126404108
4413.710826210826,740.8586944493475,4616.9552476509,459.29380894583494,4324.496779388084,435.4735091006907,4704.811594202898,335.9411836780205,4436.477011494253,588.7755468044741,4674.739130434782,257.00952394828875,4481.0,282.39688383549844,3884.749745308752,1202.8041814051342
4151.354504371746,359.3229177668188,4523.152173913044,660.2584297658569,4572.666666666666,276.2505572308775,4527.842809364548,258.42354022805836,4293.455128205128,148.49624998308943,4914.583333333334,314.4966448863116,3994.3152173913045,1032.347135981033,4299.127492877493,1278.1759096570192
4208.7692307692305,79.54446240319837,4621.739130434782,286.16491603311886,4277.064814814815,219.7781717718573,4786.394927536231,341.7048962736206,4459.0,294.0,4920.416666666667,376.46104269454804,3855.3430930930926,745.9028207919334,4214.23188405797,651.4319283208912
4137.983312983313,217.7565687667804,4635.671957671958,581.3671637317813,4619.655797101449,221.92502213233,4594.027777777777,608.4239531692708,4207.076923076923,104.94127220231252,5163.2832480818415,829.9167475677123,3992.4301801801803,767.0017412958598,4333.112903225807,814.0562762371076
4218.681318681319,227.43270873021393,4456.425740121393,469.0512602436763,4256.757122507122,207.11714787601323,4574.739130434782,269.53848862342716,4424.750000000001,133.83333333333348,4771.333333333333,458.2216833707357,4093.048088410992,491.55907761545336,3602.3726851851857,813.6293278569826
4213.470085470086,213.08977988577294,4574.534161490683,439.36684111246495,4513.190635451505,383.21221448673464,4965.742753623188,491.5759277284808,4213.470085470086,213.08977988577294,4968.652173913043,523.0908889809161,4269.020833333333,660.666710025646,3736.396221532091,1314.9952370167118
4475.264771460424,201.6061064238959,4442.538461538461,386.51252113493416,4358.608974358975,112.44696974982124,4256.300322061192,421.2172123106298,4851.811594202898,212.8622417514512,4558.059523809524,322.1374273642283,4091.7179487179483,361.8747626634504,3637.6153846153848,771.4417609466992
4329.492629753499,331.09319222700856,4406.911375661376,539.8956980291908,4462.550322061192,336.0227806405079,4479.124338624339,438.7084467262613,4453.565217391304,220.74454980744412,4773.416666666667,479.0569729513734,4524.908424908425,930.6558451781511,3829.923852539561,810.6945889237943
4251.923076923076,106.47202408715177,4855.175983436853,355.9271173127756,4414.090982286634,276.36488111624806,4802.989130434782,276.2388120991491,4324.729096989966,307.45098160728276,4542.713365539452,388.78176211589454,4384.871794871795,636.1953396486525,3888.025134491578,781.4440980538275
4387.268518518519,208.7962962962963,4604.851851851852,494.60164514483034,4664.333333333334,417.8426072631232,4549.739130434782,231.22919123325855,4723.537784679089,223.22344326640808,4293.4610075914425,540.1572340157944,4342.583333333334,513.3997341614398,3978.143678160919,578.9828495257177
