tiempo,voltaje
0.0,-1.76
0.02,-5.12
0.04,-5.12
0.06,-5.12
0.08,-5.12
0.1,-5.12
0.12,-5.12
0.14,-5.12
0.16,-5.12
0.18,-5.12
0.2,-5.12
0.22,-5.12
0.24,-5.12
0.26,-5.12
0.28,-5.12
0.3,-5.12
0.32,-5.12
0.34,-5.12
0.36,-5.12
0.38,-5.12
0.4,-5.12
0.42,-5.12
0.44,-5.12
0.46,-5.12
0.48,-5.12
0.5,-5.12
0.52,-5.12
0.54,-5.12
0.56,-5.12
0.58,-5.12
0.6,-5.12
0.62,-5.12
0.64,-5.12
0.66,-5.12
0.68,-5.12
0.7,-5.12
0.72,-5.12
0.74,-5.12
0.76,-5.12
0.78,-5.12
0.8,-5.12
0.82,-5.12
0.84,-5.12
0.86,-5.12
0.88,-5.12
0.9,-5.12
0.92,-5.12
0.94,-5.12
0.96,-5.12
0.98,-5.12
1.0,-5.12
1.02,-5.12
1.04,-5.12
1.06,-5.12
1.08,-5.12
1.1,-5.12
1.12,-5.12
1.14,-5.12
1.16,-5.12
1.18,-5.12
1.2,-5.12
1.22,-5.12
1.24,-5.12
1.26,-5.12
1.28,-5.12
1.3,-5.12
1.32,-5.12
1.34,-5.12
1.36,-5.12
1.38,-5.12
1.4,-5.12
1.42,-5.12
1.44,-5.12
1.46,-5.12
1.48,-5.12
1.5,-5.12
1.52,-5.12
1.54,-5.12
1.56,-5.12
1.58,-5.12
1.6,-5.12
1.62,-5.12
1.64,-5.12
1.66,-5.12
1.68,-5.12
1.7,-5.12
1.72,-5.12
1.74,-5.12
1.76,-5.12
1.78,-5.12
1.8,-5.12
1.82,-5.12
1.84,-5.12
1.86,-5.12
1.88,-5.12
1.9,-5.12
1.92,-5.12
1.94,-5.12
1.96,-5.12
1.98,-5.12
2.0,-5.12
2.02,-5.12
2.04,-5.12
2.06,-5.12
2.08,-5.12
2.1,-5.12
2.12,-5.12
2.14,-5.12
2.16,-5.12
2.18,-5.12
2.2,-5.12
2.22,-5.12
2.24,-5.12
2.26,-5.12
2.28,-5.12
2.3,-5.12
2.32,-5.12
2.34,-5.12
2.36,-5.12
2.38,-5.12
2.4,-5.12
2.42,-5.12
2.44,-5.12
2.46,-5.12
2.48,-5.12
2.5,-5.12
2.52,-5.12
2.54,-5.12
2.56,-5.12
2.58,-5.12
2.6,-5.12
2.62,-5.12
2.64,-5.12
2.66,-5.12
2.68,-5.12
2.7,-5.12
2.72,-5.12
2.74,-5.12
2.76,-5.12
2.78,-5.12
2.8,-5.12
2.82,-5.12
2.84,-5.12
2.86,-5.12
2.88,-5.12
